feature,protlabels
PRCP,CARDIOMETABOLIC
CA1,CARDIOMETABOLIC
ICAM1,CARDIOMETABOLIC
CHL1,CARDIOMETABOLIC
TGFBI,CARDIOMETABOLIC
ENG,CARDIOMETABOLIC
PLTP,CARDIOMETABOLIC
SERPINA7,CARDIOMETABOLIC
IGFBP3,CARDIOMETABOLIC
CR2,CARDIOMETABOLIC
SERPINA5,CARDIOMETABOLIC
FCGR3B,CARDIOMETABOLIC
IGFBP6,CARDIOMETABOLIC
CDH1,CARDIOMETABOLIC
CCL5,CARDIOMETABOLIC
CCL14,CARDIOMETABOLIC
GNLY,CARDIOMETABOLIC
NOTCH1,CARDIOMETABOLIC
PAM,CARDIOMETABOLIC
PROC,CARDIOMETABOLIC
CST3,CARDIOMETABOLIC
NCAM1,CARDIOMETABOLIC
PCOLCE,CARDIOMETABOLIC
LILRB1,CARDIOMETABOLIC
MET,CARDIOMETABOLIC
LTBP2,CARDIOMETABOLIC
IL7R,CARDIOMETABOLIC
VCAM1,CARDIOMETABOLIC
SELL,CARDIOMETABOLIC
F11,CARDIOMETABOLIC
COMP,CARDIOMETABOLIC
CA4,CARDIOMETABOLIC
PTPRS,CARDIOMETABOLIC
MBL2,CARDIOMETABOLIC
TIMP1,CARDIOMETABOLIC
ANGPTL3,CARDIOMETABOLIC
REG3A,CARDIOMETABOLIC
SOD1,CARDIOMETABOLIC
CD46,CARDIOMETABOLIC
ITGAM,CARDIOMETABOLIC
TNC,CARDIOMETABOLIC
NID1,CARDIOMETABOLIC
CFHR5,CARDIOMETABOLIC
SPARCL1,CARDIOMETABOLIC
PLXNB2,CARDIOMETABOLIC
MEGF9,CARDIOMETABOLIC
ANG,CARDIOMETABOLIC
ST6GAL1,CARDIOMETABOLIC
DPP4,CARDIOMETABOLIC
REG1A,CARDIOMETABOLIC
QPCT,CARDIOMETABOLIC
FCN2,CARDIOMETABOLIC
FETUB,CARDIOMETABOLIC
CES1,CARDIOMETABOLIC
CRTAC1,CARDIOMETABOLIC
TCN2,CARDIOMETABOLIC
PRSS2,CARDIOMETABOLIC
ICAM3,CARDIOMETABOLIC
SAA4,CARDIOMETABOLIC
CNDP1,CARDIOMETABOLIC
FCGR2A,CARDIOMETABOLIC
NRP1,CARDIOMETABOLIC
EFEMP1,CARDIOMETABOLIC
TIMD4,CARDIOMETABOLIC
FAP,CARDIOMETABOLIC
TIE1,CARDIOMETABOLIC
THBS4,CARDIOMETABOLIC
F7,CARDIOMETABOLIC
GP1BA,CARDIOMETABOLIC
LYVE1,CARDIOMETABOLIC
CA3,CARDIOMETABOLIC
TGFBR3,CARDIOMETABOLIC
DEFA1,CARDIOMETABOLIC
CD59,CARDIOMETABOLIC
APOM,CARDIOMETABOLIC
OSMR,CARDIOMETABOLIC
LILRB2,CARDIOMETABOLIC
UMOD,CARDIOMETABOLIC
CCL18,CARDIOMETABOLIC
COL18A1,CARDIOMETABOLIC
LCN2,CARDIOMETABOLIC
KIT,CARDIOMETABOLIC
C1QTNF1,CARDIOMETABOLIC
AOC3,CARDIOMETABOLIC
GAS6,CARDIOMETABOLIC
IGLC2,CARDIOMETABOLIC
PLA2G7,CARDIOMETABOLIC
TNXB,CARDIOMETABOLIC
MFAP5,CARDIOMETABOLIC
VASN,CARDIOMETABOLIC
LILRB5,CARDIOMETABOLIC
C2,CARDIOMETABOLIC
BMP.6,CARDIOVASCULAR
ANG.1,CARDIOVASCULAR
ADM,CARDIOVASCULAR
CD40.L,CARDIOVASCULAR
SLAMF7,CARDIOVASCULAR
PGF,CARDIOVASCULAR
ADAM.TS13,CARDIOVASCULAR
BOC,CARDIOVASCULAR
IL.4RA,CARDIOVASCULAR
SRC,CARDIOVASCULAR
IL.1ra,CARDIOVASCULAR
IL6,CARDIOVASCULAR
TNFRSF10A,CARDIOVASCULAR
STK4,CARDIOVASCULAR
IDUA,CARDIOVASCULAR
TNFRSF11A,CARDIOVASCULAR
